time_s,x_t
-30.0,0.08074729422812069
-29.99609375,0.08140813630974478
-29.9921875,0.08207411389129625
-29.98828125,0.08274287912255888
-29.984375,0.08341941588088485
-29.98046875,0.08410291812136728
-29.9765625,0.08478695937292921
-29.97265625,0.08547063641929767
-29.96875,0.08615287731108694
-29.96484375,0.08683078688891453
-29.9609375,0.0875038831589953
-29.95703125,0.08816784367097584
-29.953125,0.08882275001205346
-29.94921875,0.08946973969196702
-29.9453125,0.0901097964375986
-29.94140625,0.09074370769795106
-29.9375,0.09137418190816429
-29.93359375,0.09200323555732878
-29.9296875,0.0926361312387646
-29.92578125,0.0932773326551533
-29.921875,0.0939256819435367
-29.91796875,0.09458270638341607
-29.9140625,0.09525021233054304
-29.91015625,0.0959246983528096
-29.90625,0.0966045536956548
-29.90234375,0.09729178847297884
-29.8984375,0.0979845532399999
-29.89453125,0.09867881359158771
-29.890625,0.09937069685851396
-29.88671875,0.10005823724989032
-29.8828125,0.10073982557590153
-29.87890625,0.10141637754508656
-29.875,0.10209188321587025
-29.87109375,0.10276408588532429
-29.8671875,0.10342843069568337
-29.86328125,0.10408783163036457
-29.859375,0.10474463298251215
-29.85546875,0.10539979833355638
-29.8515625,0.10605519512397882
-29.84765625,0.10671148603131841
-29.84375,0.10736639625522565
-29.83984375,0.10801996126402028
-29.8359375,0.10867106295131002
-29.83203125,0.10932116646501669
-29.828125,0.10997236145191559
-29.82421875,0.11062382291814077
-29.8203125,0.11127376672275914
-29.81640625,0.1119233446394802
-29.8125,0.11257081661323096
-29.80859375,0.11321536639709327
-29.8046875,0.1138550256963995
-29.80078125,0.11448893226106495
-29.796875,0.11511990397018915
-29.79296875,0.11575529852803017
-29.7890625,0.11639604003733756
-29.78515625,0.11704313586243734
-29.78125,0.11770071939264902
-29.77734375,0.11836618716759971
-29.7734375,0.11903311415415252
-29.76953125,0.1196979700100152
-29.765625,0.12036211093720271
-29.76171875,0.12102750247425072
-29.7578125,0.12169074476130431
-29.75390625,0.12235102825273667
-29.75,0.1230072411441323
-29.74609375,0.12365808841683502
-29.7421875,0.12430292086837572
-29.73828125,0.12493986334366133
-29.734375,0.12556882205544825
-29.73046875,0.12619096189668152
-29.7265625,0.12680790103425377
-29.72265625,0.12742091015938659
-29.71875,0.12803453243803836
-29.71484375,0.12865108606377507
-29.7109375,0.1292744766658156
-29.70703125,0.12990594321070326
-29.703125,0.13054846671058817
-29.69921875,0.1312033136860985
-29.6953125,0.13187076706186415
-29.69140625,0.1325464002430017
-29.6875,0.1332274734112143
-29.68359375,0.13390891348629283
-29.6796875,0.1345874780845392
-29.67578125,0.13526250202844414
-29.671875,0.13593567040599927
-29.66796875,0.13660606328329264
-29.6640625,0.13726981635792762
-29.66015625,0.1379257534937927
-29.65625,0.13857336222523095
-29.65234375,0.13921187742128857
-29.6484375,0.1398416331146896
-29.64453125,0.14046378980930815
-29.640625,0.14107967740895586
-29.63671875,0.14169503009712597
-29.6328125,0.14231321931439922
-29.62890625,0.1429373948492932
-29.625,0.14356699046705373
-29.62109375,0.14420284115273022
-29.6171875,0.14484345757561448
-29.61328125,0.14548840695790877
-29.609375,0.14613730768474112
-29.60546875,0.14678932631822109
-29.6015625,0.14744334442001644
-29.59765625,0.1481028396921475
-29.59375,0.14876610241337296
-29.58984375,0.149428131245214
-29.5859375,0.1500915381219153
-29.58203125,0.15075572358936473
