delta_cont,lnA_pre_cont
0.0,0.0
0.10033444816053512,-0.005016722408026793
0.20066889632107024,-0.010033444816053508
0.3010033444816054,-0.015050167224080323
0.4013377926421405,-0.020066889632107014
0.5016722408026756,-0.025083612040133763
0.6020066889632107,-0.030100334448160567
0.7023411371237458,-0.03511705685618728
0.802675585284281,-0.04013377926421399
0.9030100334448161,-0.045150501672240786
1.0033444816053512,-0.050167224080267546
1.1036789297658862,-0.05518394648829434
1.2040133779264215,-0.06020066889632102
1.3043478260869565,-0.06521739130434785
1.4046822742474916,-0.07023411371237463
1.5050167224080269,-0.07525083612040136
1.605351170568562,-0.08026755852842805
1.705685618729097,-0.08528428093645485
1.8060200668896322,-0.09030100334448159
1.9063545150501673,-0.09531772575250831
2.0066889632107023,-0.1003344481605351
2.1070234113712374,-0.10535117056856191
2.2073578595317724,-0.11036789297658862
2.307692307692308,-0.11538461538461542
2.408026755852843,-0.12040133779264212
2.508361204013378,-0.12541806020066892
2.608695652173913,-0.13043478260869568
2.709030100334448,-0.13545150501672237
2.809364548494983,-0.1404682274247491
2.9096989966555187,-0.1454849498327759
3.0100334448160537,-0.15050167224080263
3.1103678929765888,-0.15551839464882944
3.210702341137124,-0.16053511705685622
3.311036789297659,-0.16555183946488294
3.411371237458194,-0.17056856187290964
3.511705685618729,-0.17558528428093648
3.6120401337792645,-0.18060200668896326
3.7123745819397995,-0.18561872909699004
3.8127090301003346,-0.19063545150501676
3.9130434782608696,-0.1956521739130435
4.013377926421405,-0.20066889632107024
4.11371237458194,-0.205685618729097
4.214046822742475,-0.2107023411371237
4.31438127090301,-0.21571906354515058
4.414715719063545,-0.22073578595317728
4.51505016722408,-0.22575250836120406
4.615384615384616,-0.23076923076923084
4.7157190635451505,-0.2357859531772576
4.816053511705686,-0.24080267558528426
4.916387959866221,-0.24581939799331104
5.016722408026756,-0.2508361204013378
5.117056856187291,-0.2558528428093645
5.217391304347826,-0.2608695652173913
5.317725752508362,-0.2658862876254181
5.418060200668896,-0.27090301003344475
5.518394648829432,-0.27591973244147167
5.618729096989966,-0.28093645484949825
